[Version1]
FullName,Value
Controller.Micro850.Micro850.localAdr[35],0
Controller.Micro850.Micro850.localAdr[36],0
Controller.Micro850.Micro850.localAdr[37],0
Controller.Micro850.Micro850.localAdr[38],0
Controller.Micro850.Micro850.localAdr[39],0
Controller.Micro850.Micro850.localAdr[4],32
Controller.Micro850.Micro850.localAdr[40],0
Controller.Micro850.Micro850.localAdr[41],0
Controller.Micro850.Micro850.localAdr[42],0
Controller.Micro850.Micro850.localAdr[43],0
Controller.Micro850.Micro850.localAdr[44],0
Controller.Micro850.Micro850.localAdr[45],0
Controller.Micro850.Micro850.localAdr[46],0
Controller.Micro850.Micro850.localAdr[47],0
Controller.Micro850.Micro850.localAdr[48],0
Controller.Micro850.Micro850.localAdr[49],0
Controller.Micro850.Micro850.localAdr[5],176
Controller.Micro850.Micro850.localAdr[50],0
Controller.Micro850.Micro850.localAdr[51],0
Controller.Micro850.Micro850.localAdr[52],0
Controller.Micro850.Micro850.localAdr[53],0
Controller.Micro850.Micro850.localAdr[54],0
Controller.Micro850.Micro850.localAdr[55],0
Controller.Micro850.Micro850.localAdr[56],0
Controller.Micro850.Micro850.localAdr[57],0
Controller.Micro850.Micro850.localAdr[58],0
Controller.Micro850.Micro850.localAdr[59],0
Controller.Micro850.Micro850.localAdr[6],176
Controller.Micro850.Micro850.localAdr[60],0
Controller.Micro850.Micro850.localAdr[61],0
Controller.Micro850.Micro850.localAdr[62],0
Controller.Micro850.Micro850.localAdr[63],0
Controller.Micro850.Micro850.localAdr[64],0
Controller.Micro850.Micro850.localAdr[65],0
Controller.Micro850.Micro850.localAdr[66],0
Controller.Micro850.Micro850.localAdr[67],0
Controller.Micro850.Micro850.localAdr[68],0
Controller.Micro850.Micro850.localAdr[69],0
Controller.Micro850.Micro850.localAdr[7],176
Controller.Micro850.Micro850.localAdr[70],0
Controller.Micro850.Micro850.localAdr[71],0
Controller.Micro850.Micro850.localAdr[72],0
Controller.Micro850.Micro850.localAdr[73],0
Controller.Micro850.Micro850.localAdr[74],0
Controller.Micro850.Micro850.localAdr[75],0
Controller.Micro850.Micro850.localAdr[76],0
Controller.Micro850.Micro850.localAdr[77],0
Controller.Micro850.Micro850.localAdr[78],0
Controller.Micro850.Micro850.localAdr[79],0
Controller.Micro850.Micro850.localAdr[8],176
Controller.Micro850.Micro850.localAdr[80],0
Controller.Micro850.Micro850.localAdr[81],0
Controller.Micro850.Micro850.localAdr[82],0
Controller.Micro850.Micro850.localAdr[9],176
Controller.Micro850.Micro850.MotorAlimentador,FALSE
Controller.Micro850.Micro850.MotorBanda,FALSE
Controller.Micro850.Micro850.numC,18
Controller.Micro850.Micro850.NumeroCostalesLlenos,0
Controller.Micro850.Micro850.OLALIMENTADOR,FALSE
Controller.Micro850.Micro850.OLBANDA,FALSE
Controller.Micro850.Micro850.pesoAcum,0.0
Controller.Micro850.Micro850.pesoBasculaFormat,0.0
Controller.Micro850.Micro850.pesocancelado,0.0
Controller.Micro850.Micro850.PesoDosificado,0.0
Controller.Micro850.Micro850.PesoTotal,0.0
Controller.Micro850.Micro850.pesoWatchdog,1.0
Controller.Micro850.Micro850.PistonDosificadoLento,FALSE
Controller.Micro850.Micro850.PistonMordaza,FALSE
Controller.Micro850.Micro850.PorcentajeDosificadoLento,70.0
Controller.Micro850.Micro850.preajuste,FALSE
Controller.Micro850.Micro850.prelimpia,TRUE
Controller.Micro850.Micro850.Prensa,FALSE
Controller.Micro850.Micro850.Principal.cntlAlimentador,FALSE
Controller.Micro850.Micro850.Principal.cntlMordaza,FALSE
Controller.Micro850.Micro850.Principal.cntlValvula,FALSE
Controller.Micro850.Micro850.Principal.contadorflag.CLK,FALSE
Controller.Micro850.Micro850.Principal.contadorflag.Q,FALSE
Controller.Micro850.Micro850.Principal.contadorflag.Redge,FALSE
Controller.Micro850.Micro850.Principal.costalescancelados,0
Controller.Micro850.Micro850.Principal.delayAlimentador.ET,T#0s
Controller.Micro850.Micro850.Principal.delayAlimentador.IN,FALSE
Controller.Micro850.Micro850.Principal.delayAlimentador.Pdate,T#0s
Controller.Micro850.Micro850.Principal.delayAlimentador.PT,T#500ms
Controller.Micro850.Micro850.Principal.delayAlimentador.Q,FALSE
Controller.Micro850.Micro850.Principal.delayAlimentador.Redge,FALSE
Controller.Micro850.Micro850.Principal.G,FALSE
Controller.Micro850.Micro850.Principal.H,FALSE
Controller.Micro850.Micro850.Principal.J,FALSE
Controller.Micro850.Micro850.Principal.microSwitch.CLK,FALSE
Controller.Micro850.Micro850.Principal.microSwitch.Q,FALSE
Controller.Micro850.Micro850.Principal.microSwitch.Redge,FALSE
Controller.Micro850.Micro850.Principal.nextCicle.ET,T#0s
Controller.Micro850.Micro850.Principal.nextCicle.IN,FALSE
Controller.Micro850.Micro850.Principal.nextCicle.Pdate,T#0s
Controller.Micro850.Micro850.Principal.nextCicle.PT,T#0s
Controller.Micro850.Micro850.Principal.nextCicle.Q,FALSE
Controller.Micro850.Micro850.Principal.nextCicle.Redge,FALSE
Controller.Micro850.Micro850.Principal.settara,FALSE
Controller.Micro850.Micro850.Principal.tarainicio,0.0
Controller.Micro850.Micro850.Principal.tiempoajuste.ET,T#0s
Controller.Micro850.Micro850.Principal.tiempoajuste.IN,FALSE
Controller.Micro850.Micro850.Principal.tiempoajuste.Pdate,T#0s
Controller.Micro850.Micro850.Principal.tiempoajuste.PT,T#0s
Controller.Micro850.Micro850.Principal.tiempoajuste.Q,FALSE
Controller.Micro850.Micro850.Principal.tiempoajuste.Redge,FALSE
Controller.Micro850.Micro850.Principal.tiempobotador.ET,T#0s
Controller.Micro850.Micro850.Principal.tiempobotador.FEDGE,TRUE
Controller.Micro850.Micro850.Principal.tiempobotador.IN,FALSE
Controller.Micro850.Micro850.Principal.tiempobotador.PDATE,T#0s
Controller.Micro850.Micro850.Principal.tiempobotador.PT,T#200ms
Controller.Micro850.Micro850.Principal.tiempobotador.PTOF,T#600ms
Controller.Micro850.Micro850.Principal.tiempobotador.Q,FALSE
Controller.Micro850.Micro850.Principal.tiempobotador.REDGE,FALSE
Controller.Micro850.Micro850.Principal.TON_1.ET,T#0s
Controller.Micro850.Micro850.Principal.TON_1.IN,FALSE
Controller.Micro850.Micro850.Principal.TON_1.Pdate,T#0s
Controller.Micro850.Micro850.Principal.TON_1.PT,T#1s500ms
Controller.Micro850.Micro850.Principal.TON_1.Q,FALSE
Controller.Micro850.Micro850.Principal.TON_1.Redge,FALSE
Controller.Micro850.Micro850.PuntoCorte,73.0
Controller.Micro850.Micro850.PuntoDosificadoRapido,66.0
Controller.Micro850.Micro850.Reinicia,FALSE
Controller.Micro850.Micro850.resetCumunicacion,
Controller.Micro850.Micro850.RS232.a,
Controller.Micro850.Micro850.RS232.ablVAR.Cancel,FALSE
Controller.Micro850.Micro850.RS232.ablVAR.Channel,5
Controller.Micro850.Micro850.RS232.ablVAR.TriggerType,1
Controller.Micro850.Micro850.RS232.ACL_1.ACLInput.Channel,5
Controller.Micro850.Micro850.RS232.ACL_1.ACLInput.RXBuffer,TRUE
Controller.Micro850.Micro850.RS232.ACL_1.ACLInput.TXBuffer,FALSE
Controller.Micro850.Micro850.RS232.ACL_1.Error,FALSE
Controller.Micro850.Micro850.RS232.ACL_1.ErrorID,0
Controller.Micro850.Micro850.RS232.ACL_1.IN,FALSE
Controller.Micro850.Micro850.RS232.ACL_1.prestatus,FALSE
Controller.Micro850.Micro850.RS232.ACL_1.Q,TRUE
Controller.Micro850.Micro850.RS232.aclVAr.Channel,5
Controller.Micro850.Micro850.RS232.aclVAr.RXBuffer,TRUE
Controller.Micro850.Micro850.RS232.aclVAr.TXBuffer,FALSE
Controller.Micro850.Micro850.RS232.adress.Cancel,FALSE
Controller.Micro850.Micro850.RS232.adress.Channel,5
Controller.Micro850.Micro850.RS232.adress.Length,18
Controller.Micro850.Micro850.RS232.ARL_1.ARLInput.Cancel,FALSE
Controller.Micro850.Micro850.RS232.ARL_1.ARLInput.Channel,5
Controller.Micro850.Micro850.RS232.ARL_1.ARLInput.Length,18
Controller.Micro850.Micro850.RS232.ARL_1.controlbit,0
Controller.Micro850.Micro850.RS232.ARL_1.Destination[1],2
Controller.Micro850.Micro850.RS232.ARL_1.Destination[10],176
Controller.Micro850.Micro850.RS232.ARL_1.Destination[11],176
Controller.Micro850.Micro850.RS232.ARL_1.Destination[12],176
Controller.Micro850.Micro850.RS232.ARL_1.Destination[13],176
Controller.Micro850.Micro850.RS232.ARL_1.Destination[14],176
Controller.Micro850.Micro850.RS232.ARL_1.Destination[15],176
Controller.Micro850.Micro850.RS232.ARL_1.Destination[16],176
Controller.Micro850.Micro850.RS232.ARL_1.Destination[17],13
Controller.Micro850.Micro850.RS232.ARL_1.Destination[18],128
Controller.Micro850.Micro850.RS232.ARL_1.Destination[19],0
Controller.Micro850.Micro850.RS232.ARL_1.Destination[2],179
Controller.Micro850.Micro850.RS232.ARL_1.Destination[20],0
Controller.Micro850.Micro850.RS232.ARL_1.Destination[21],0
Controller.Micro850.Micro850.RS232.ARL_1.Destination[22],0
Controller.Micro850.Micro850.RS232.ARL_1.Destination[23],0
Controller.Micro850.Micro850.RS232.ARL_1.Destination[24],0
Controller.Micro850.Micro850.RS232.ARL_1.Destination[25],0
Controller.Micro850.Micro850.RS232.ARL_1.Destination[26],0
Controller.Micro850.Micro850.RS232.ARL_1.Destination[27],0
Controller.Micro850.Micro850.RS232.ARL_1.Destination[28],0
Controller.Micro850.Micro850.RS232.ARL_1.Destination[29],0
Controller.Micro850.Micro850.RS232.ARL_1.Destination[3],176
Controller.Micro850.Micro850.RS232.ARL_1.Destination[30],0
Controller.Micro850.Micro850.RS232.ARL_1.Destination[31],0
Controller.Micro850.Micro850.RS232.ARL_1.Destination[32],0
Controller.Micro850.Micro850.RS232.ARL_1.Destination[33],0
Controller.Micro850.Micro850.RS232.ARL_1.Destination[34],0
Controller.Micro850.Micro850.RS232.ARL_1.Destination[35],0
Controller.Micro850.Micro850.RS232.ARL_1.Destination[36],0
Controller.Micro850.Micro850.RS232.ARL_1.Destination[37],0
Controller.Micro850.Micro850.RS232.ARL_1.Destination[38],0
Controller.Micro850.Micro850.RS232.ARL_1.Destination[39],0
Controller.Micro850.Micro850.RS232.ARL_1.Destination[4],32
Controller.Micro850.Micro850.RS232.ARL_1.Destination[40],0
Controller.Micro850.Micro850.RS232.ARL_1.Destination[41],0
Controller.Micro850.Micro850.RS232.ARL_1.Destination[42],0
Controller.Micro850.Micro850.RS232.ARL_1.Destination[43],0
Controller.Micro850.Micro850.RS232.ARL_1.Destination[44],0
Controller.Micro850.Micro850.RS232.ARL_1.Destination[45],0
Controller.Micro850.Micro850.RS232.ARL_1.Destination[46],0
Controller.Micro850.Micro850.RS232.ARL_1.Destination[47],0
Controller.Micro850.Micro850.RS232.ARL_1.Destination[48],0
Controller.Micro850.Micro850.RS232.ARL_1.Destination[49],0
Controller.Micro850.Micro850.RS232.ARL_1.Destination[5],176
Controller.Micro850.Micro850.RS232.ARL_1.Destination[50],0
Controller.Micro850.Micro850.RS232.ARL_1.Destination[51],0
Controller.Micro850.Micro850.RS232.ARL_1.Destination[52],0
Controller.Micro850.Micro850.RS232.ARL_1.Destination[53],0
Controller.Micro850.Micro850.RS232.ARL_1.Destination[54],0
Controller.Micro850.Micro850.RS232.ARL_1.Destination[55],0
Controller.Micro850.Micro850.RS232.ARL_1.Destination[56],0
Controller.Micro850.Micro850.RS232.ARL_1.Destination[57],0
Controller.Micro850.Micro850.RS232.ARL_1.Destination[58],0
Controller.Micro850.Micro850.RS232.ARL_1.Destination[59],0
Controller.Micro850.Micro850.RS232.ARL_1.Destination[6],176
Controller.Micro850.Micro850.RS232.ARL_1.Destination[60],0
Controller.Micro850.Micro850.RS232.ARL_1.Destination[61],0
Controller.Micro850.Micro850.RS232.ARL_1.Destination[62],0
Controller.Micro850.Micro850.RS232.ARL_1.Destination[63],0
Controller.Micro850.Micro850.RS232.ARL_1.Destination[64],0
Controller.Micro850.Micro850.RS232.ARL_1.Destination[65],0
Controller.Micro850.Micro850.RS232.ARL_1.Destination[66],0
Controller.Micro850.Micro850.RS232.ARL_1.Destination[67],0
Controller.Micro850.Micro850.RS232.ARL_1.Destination[68],0
Controller.Micro850.Micro850.RS232.ARL_1.Destination[69],0
Controller.Micro850.Micro850.RS232.ARL_1.Destination[7],176
Controller.Micro850.Micro850.RS232.ARL_1.Destination[70],0
Controller.Micro850.Micro850.RS232.ARL_1.Destination[71],0
Controller.Micro850.Micro850.RS232.ARL_1.Destination[72],0
Controller.Micro850.Micro850.RS232.ARL_1.Destination[73],0
Controller.Micro850.Micro850.RS232.ARL_1.Destination[74],0
Controller.Micro850.Micro850.RS232.ARL_1.Destination[75],0
Controller.Micro850.Micro850.RS232.ARL_1.Destination[76],0
Controller.Micro850.Micro850.RS232.ARL_1.Destination[77],0
Controller.Micro850.Micro850.RS232.ARL_1.Destination[78],0
Controller.Micro850.Micro850.RS232.ARL_1.Destination[79],0
Controller.Micro850.Micro850.RS232.ARL_1.Destination[8],176
Controller.Micro850.Micro850.RS232.ARL_1.Destination[80],0
Controller.Micro850.Micro850.RS232.ARL_1.Destination[81],0
Controller.Micro850.Micro850.RS232.ARL_1.Destination[82],0
Controller.Micro850.Micro850.RS232.ARL_1.Destination[9],176
Controller.Micro850.Micro850.RS232.ARL_1.Error,FALSE
Controller.Micro850.Micro850.RS232.ARL_1.ErrorID,0
Controller.Micro850.Micro850.RS232.ARL_1.IN,FALSE
Controller.Micro850.Micro850.RS232.ARL_1.NumChar,18
Controller.Micro850.Micro850.RS232.ARL_1.Q,TRUE
Controller.Micro850.Micro850.RS232.b,
Controller.Micro850.Micro850.RS232.bufer1,0
Controller.Micro850.Micro850.RS232.c,
Controller.Micro850.Micro850.RS232.c1,0
Controller.Micro850.Micro850.RS232.countA,0
Controller.Micro850.Micro850.RS232.CTU_1.CU,
Controller.Micro850.Micro850.RS232.CTU_1.CV,
Controller.Micro850.Micro850.RS232.CTU_1.P_CU,
Controller.Micro850.Micro850.RS232.CTU_1.PV,
Controller.Micro850.Micro850.RS232.CTU_1.Q,
Controller.Micro850.Micro850.RS232.CTU_1.RESET,
Controller.Micro850.Micro850.RS232.d,
Controller.Micro850.Micro850.RS232.direcciones,
Controller.Micro850.Micro850.RS232.dre.Cancel,FALSE
Controller.Micro850.Micro850.RS232.dre.Channel,0
Controller.Micro850.Micro850.RS232.dre.ClrRts,FALSE
Controller.Micro850.Micro850.RS232.dre.SetRts,FALSE
Controller.Micro850.Micro850.RS232.erd5id,0
Controller.Micro850.Micro850.RS232.err5,FALSE
Controller.Micro850.Micro850.RS232.erroACL,FALSE
Controller.Micro850.Micro850.RS232.errorABL,FALSE
Controller.Micro850.Micro850.RS232.long,18
Controller.Micro850.Micro850.RS232.longitudREAL,0
Controller.Micro850.Micro850.RS232.RA_ASCII_INPUT_TO_STRING_1.Estabilidad,TRUE
Controller.Micro850.Micro850.RS232.RA_ASCII_INPUT_TO_STRING_1.FBEN,TRUE
Controller.Micro850.Micro850.RS232.RA_ASCII_INPUT_TO_STRING_1.FBENO,TRUE
Controller.Micro850.Micro850.RS232.RA_ASCII_INPUT_TO_STRING_1.Index,11
Controller.Micro850.Micro850.RS232.RA_ASCII_INPUT_TO_STRING_1.Input[1],2
Controller.Micro850.Micro850.RS232.RA_ASCII_INPUT_TO_STRING_1.Input[10],176
Controller.Micro850.Micro850.RS232.RA_ASCII_INPUT_TO_STRING_1.Input[11],176
Controller.Micro850.Micro850.RS232.RA_ASCII_INPUT_TO_STRING_1.Input[12],176
Controller.Micro850.Micro850.RS232.RA_ASCII_INPUT_TO_STRING_1.Input[13],176
Controller.Micro850.Micro850.RS232.RA_ASCII_INPUT_TO_STRING_1.Input[14],176
Controller.Micro850.Micro850.RS232.RA_ASCII_INPUT_TO_STRING_1.Input[15],176
Controller.Micro850.Micro850.RS232.RA_ASCII_INPUT_TO_STRING_1.Input[16],176
Controller.Micro850.Micro850.RS232.RA_ASCII_INPUT_TO_STRING_1.Input[17],13
Controller.Micro850.Micro850.RS232.RA_ASCII_INPUT_TO_STRING_1.Input[18],128
Controller.Micro850.Micro850.RS232.RA_ASCII_INPUT_TO_STRING_1.Input[19],0
Controller.Micro850.Micro850.RS232.RA_ASCII_INPUT_TO_STRING_1.Input[2],179
Controller.Micro850.Micro850.RS232.RA_ASCII_INPUT_TO_STRING_1.Input[20],0
Controller.Micro850.Micro850.RS232.RA_ASCII_INPUT_TO_STRING_1.Input[21],0
Controller.Micro850.Micro850.RS232.RA_ASCII_INPUT_TO_STRING_1.Input[22],0
Controller.Micro850.Micro850.RS232.RA_ASCII_INPUT_TO_STRING_1.Input[23],0
Controller.Micro850.Micro850.RS232.RA_ASCII_INPUT_TO_STRING_1.Input[24],0
Controller.Micro850.Micro850.RS232.RA_ASCII_INPUT_TO_STRING_1.Input[25],0
Controller.Micro850.Micro850.RS232.RA_ASCII_INPUT_TO_STRING_1.Input[26],0
Controller.Micro850.Micro850.RS232.RA_ASCII_INPUT_TO_STRING_1.Input[27],0
Controller.Micro850.Micro850.RS232.RA_ASCII_INPUT_TO_STRING_1.Input[28],0
Controller.Micro850.Micro850.RS232.RA_ASCII_INPUT_TO_STRING_1.Input[29],0
Controller.Micro850.Micro850.RS232.RA_ASCII_INPUT_TO_STRING_1.Input[3],176
Controller.Micro850.Micro850.RS232.RA_ASCII_INPUT_TO_STRING_1.Input[30],0
Controller.Micro850.Micro850.RS232.RA_ASCII_INPUT_TO_STRING_1.Input[31],0
Controller.Micro850.Micro850.RS232.RA_ASCII_INPUT_TO_STRING_1.Input[32],0
Controller.Micro850.Micro850.RS232.RA_ASCII_INPUT_TO_STRING_1.Input[33],0
Controller.Micro850.Micro850.RS232.RA_ASCII_INPUT_TO_STRING_1.Input[34],0
Controller.Micro850.Micro850.RS232.RA_ASCII_INPUT_TO_STRING_1.Input[35],0
Controller.Micro850.Micro850.RS232.RA_ASCII_INPUT_TO_STRING_1.Input[36],0
Controller.Micro850.Micro850.RS232.RA_ASCII_INPUT_TO_STRING_1.Input[37],0
Controller.Micro850.Micro850.RS232.RA_ASCII_INPUT_TO_STRING_1.Input[38],0
Controller.Micro850.Micro850.RS232.RA_ASCII_INPUT_TO_STRING_1.Input[39],0
Controller.Micro850.Micro850.RS232.RA_ASCII_INPUT_TO_STRING_1.Input[4],32
Controller.Micro850.Micro850.RS232.RA_ASCII_INPUT_TO_STRING_1.Input[40],0
Controller.Micro850.Micro850.RS232.RA_ASCII_INPUT_TO_STRING_1.Input[41],0
Controller.Micro850.Micro850.RS232.RA_ASCII_INPUT_TO_STRING_1.Input[42],0
Controller.Micro850.Micro850.RS232.RA_ASCII_INPUT_TO_STRING_1.Input[43],0
Controller.Micro850.Micro850.RS232.RA_ASCII_INPUT_TO_STRING_1.Input[44],0
Controller.Micro850.Micro850.RS232.RA_ASCII_INPUT_TO_STRING_1.Input[45],0
Controller.Micro850.Micro850.RS232.RA_ASCII_INPUT_TO_STRING_1.Input[46],0
Controller.Micro850.Micro850.RS232.RA_ASCII_INPUT_TO_STRING_1.Input[47],0
Controller.Micro850.Micro850.RS232.RA_ASCII_INPUT_TO_STRING_1.Input[48],0
Controller.Micro850.Micro850.RS232.RA_ASCII_INPUT_TO_STRING_1.Input[49],0
Controller.Micro850.Micro850.RS232.RA_ASCII_INPUT_TO_STRING_1.Input[5],176
Controller.Micro850.Micro850.RS232.RA_ASCII_INPUT_TO_STRING_1.Input[50],0
Controller.Micro850.Micro850.RS232.RA_ASCII_INPUT_TO_STRING_1.Input[51],0
Controller.Micro850.Micro850.RS232.RA_ASCII_INPUT_TO_STRING_1.Input[52],0
Controller.Micro850.Micro850.RS232.RA_ASCII_INPUT_TO_STRING_1.Input[53],0
Controller.Micro850.Micro850.RS232.RA_ASCII_INPUT_TO_STRING_1.Input[54],0
Controller.Micro850.Micro850.RS232.RA_ASCII_INPUT_TO_STRING_1.Input[55],0
Controller.Micro850.Micro850.RS232.RA_ASCII_INPUT_TO_STRING_1.Input[56],0
Controller.Micro850.Micro850.RS232.RA_ASCII_INPUT_TO_STRING_1.Input[57],0
Controller.Micro850.Micro850.RS232.RA_ASCII_INPUT_TO_STRING_1.Input[58],0
Controller.Micro850.Micro850.RS232.RA_ASCII_INPUT_TO_STRING_1.Input[59],0
Controller.Micro850.Micro850.RS232.RA_ASCII_INPUT_TO_STRING_1.Input[6],176
Controller.Micro850.Micro850.RS232.RA_ASCII_INPUT_TO_STRING_1.Input[60],0
Controller.Micro850.Micro850.RS232.RA_ASCII_INPUT_TO_STRING_1.Input[61],0
Controller.Micro850.Micro850.RS232.RA_ASCII_INPUT_TO_STRING_1.Input[62],0
Controller.Micro850.Micro850.RS232.RA_ASCII_INPUT_TO_STRING_1.Input[63],0
Controller.Micro850.Micro850.RS232.RA_ASCII_INPUT_TO_STRING_1.Input[64],0
Controller.Micro850.Micro850.RS232.RA_ASCII_INPUT_TO_STRING_1.Input[65],0
Controller.Micro850.Micro850.RS232.RA_ASCII_INPUT_TO_STRING_1.Input[66],0
Controller.Micro850.Micro850.RS232.RA_ASCII_INPUT_TO_STRING_1.Input[67],0
Controller.Micro850.Micro850.RS232.RA_ASCII_INPUT_TO_STRING_1.Input[68],0
Controller.Micro850.Micro850.RS232.RA_ASCII_INPUT_TO_STRING_1.Input[69],0
Controller.Micro850.Micro850.RS232.RA_ASCII_INPUT_TO_STRING_1.Input[7],176
Controller.Micro850.Micro850.RS232.RA_ASCII_INPUT_TO_STRING_1.Input[70],0
Controller.Micro850.Micro850.RS232.RA_ASCII_INPUT_TO_STRING_1.Input[71],0
Controller.Micro850.Micro850.RS232.RA_ASCII_INPUT_TO_STRING_1.Input[72],0
Controller.Micro850.Micro850.RS232.RA_ASCII_INPUT_TO_STRING_1.Input[73],0
